276;Maracatu De Tiro Certeiro;1;7
277;Salustiano Song;1;7
278;Antene Se;1;7
279;Risoflora;1;7
280;Lixo Do Mangue;1;7
281;Computadores Fazem Arte;1;7
282;Girassol;1;8
283;A Sombra Da Maldade;1;8
284;Johnny B. Goode;1;8
285;Soldado Da Paz;1;8
286;Firmamento;1;8
287;Extra;1;8
288;O Erê;1;8
289;Podes Crer;1;8
290;A Estrada;1;8
291;Berlim;1;8
292;Já Foi;1;8
293;Onde Você Mora?;1;8
294;Pensamento;1;8
295;Conciliação;1;8
296;Realidade Virtual;1;8
297;Mensagem;1;8
298;A Cor Do Sol;1;8
299;Onde Você Mora?;1;8
300;O Erê;1;8
301;A Sombra Da Maldade;1;8
302;A Estrada;1;8
303;Falar A Verdade;1;8
304;Firmamento;1;8
305;Pensamento;1;8
306;Realidade Virtual;1;8
307;Doutor;1;8
308;Na Frente Da TV;1;8
309;Downtown;1;8
310;Sábado A Noite;1;8
311;A Cor Do Sol;1;8
312;Eu Também Quero Beijar;1;8
313;Noite Do Prazer;1;7
314;À Francesa;1;7
315;Cada Um Cada Um (A Namoradeira);1;7
316;Linha Do Equador;1;7
317;Amor Demais;1;7
318;Férias;1;7
319;Gostava Tanto De Você;1;7
320;Flor Do Futuro;1;7
321;Felicidade Urgente;1;7
322;Livre Pra Viver;1;7
323;Dig-Dig, Lambe-Lambe (Ao Vivo);1;9
324;Pererê;1;9
325;TriboTchan;1;9
326;Tapa Aqui, Descobre Ali;1;9
327;Daniela;1;9
328;Bate Lata;1;9
329;Garotas do Brasil;1;9
330;Levada do Amor (Ailoviu);1;9
331;Lavadeira;1;9
332;Reboladeira;1;9
333;É que Nessa Encarnação Eu Nasci Manga;1;9
334;Reggae Tchan;1;9
335;My Love;1;9
336;Latinha de Cerveja;1;9
337;You Shook Me;1;1
338;I Can't Quit You Baby;1;1
339;Communication Breakdown;1;1
340;Dazed and Confused;1;1
341;The Girl I Love She Got Long Black Wavy Hair;1;1
342;What is and Should Never Be;1;1
343;Communication Breakdown(2);1;1
344;Travelling Riverside Blues;1;1
345;Whole Lotta Love;1;1
346;Somethin' Else;1;1
347;Communication Breakdown(3);1;1
348;I Can't Quit You Baby(2);1;1
349;You Shook Me(2);1;1
350;How Many More Times;1;1
351;Debra Kadabra;1;1
352;Carolina Hard-Core Ecstasy;1;1
353;Sam With The Showing Scalp Flat Top;1;1
354;Poofter's Froth Wyoming Plans Ahead;1;1
355;200 Years Old;1;1
356;Cucamonga;1;1
357;Advance Romance;1;1
358;Man With The Woman Head;1;1
359;Muffin Man;1;1
360;Vai-Vai 2001;1;10
361;X-9 2001;1;10
362;Gavioes 2001;1;10
363;Nene 2001;1;10
364;Rosas De Ouro 2001;1;10
365;Mocidade Alegre 2001;1;10
366;Camisa Verde 2001;1;10
367;Leandro De Itaquera 2001;1;10
368;Tucuruvi 2001;1;10
369;Aguia De Ouro 2001;1;10
370;Ipiranga 2001;1;10
371;Morro Da Casa Verde 2001;1;10
372;Perola Negra 2001;1;10
373;Sao Lucas 2001;1;10
374;Guanabara;1;7
375;Mas Que Nada;1;7
376;Vôo Sobre o Horizonte;1;7
377;A Paz;1;7
378;Wave (Vou te Contar);1;7
379;Água de Beber;1;7
380;Samba da Bençaco;1;7
381;Pode Parar;1;7
382;Menino do Rio;1;7
383;Ando Meio Desligado;1;7
384;Mistério da Raça;1;7
385;All Star;1;7
386;Menina Bonita;1;7
387;Pescador de Ilusões;1;7
388;À Vontade (Live Mix);1;7
389;Maria Fumaça;1;7
390;Sambassim (dj patife remix);1;7
391;Garota De Ipanema;1;7
392;Tim Tim Por Tim Tim;1;7
393;Tarde Em Itapoã;1;7
394;Tanto Tempo;1;7
395;Eu Vim Da Bahia - Live;1;7
396;Alô Alô Marciano;1;7
397;Linha Do Horizonte;1;7
398;Only A Dream In Rio;1;7
399;Abrir A Porta;1;7
400;Alice;1;7
401;Momentos Que Marcam;1;7
402;Um Jantar Pra Dois;1;7
403;Bumbo Da Mangueira;1;7
404;Mr Funk Samba;1;7
405;Santo Antonio;1;7
406;Por Você;1;7
407;Só Tinha De Ser Com Você;1;7
408;Free Speech For The Dumb;1;3
409;It's Electric;1;3
410;Sabbra Cadabra;1;3
411;Turn The Page;1;3
412;Die Die My Darling;1;3
413;Loverman;1;3
414;Mercyful Fate;1;3
415;Astronomy;1;3
416;Whiskey In The Jar;1;3
417;Tuesday's Gone;1;3
418;The More I See;1;3
419;A Kind Of Magic;1;1
420;Under Pressure;1;1
421;Radio GA GA;1;1
422;I Want It All;1;1
423;I Want To Break Free;1;1
424;Innuendo;1;1
425;It's A Hard Life;1;1
426;Breakthru;1;1
427;Who Wants To Live Forever;1;1
428;Headlong;1;1
429;The Miracle;1;1
430;I'm Going Slightly Mad;1;1
431;The Invisible Man;1;1
432;Hammer To Fall;1;1
433;Friends Will Be Friends;1;1
434;The Show Must Go On;1;1
435;One Vision;1;1
436;Detroit Rock City;1;1
437;Black Diamond;1;1
438;Hard Luck Woman;1;1
439;Sure Know Something;1;1
440;Love Gun;1;1
441;Deuce;1;1
442;Goin' Blind;1;1
443;Shock Me;1;1
444;Do You Love Me;1;1
445;She;1;1
446;I Was Made For Loving You;1;1
447;Shout It Out Loud;1;1
448;God Of Thunder;1;1
449;Calling Dr. Love;1;1
450;Beth;1;1
451;Strutter;1;1
452;Rock And Roll All Nite;1;1
453;Cold Gin;1;1
454;Plaster Caster;1;1
455;God Gave Rock 'n' Roll To You;1;1
456;Heart of the Night;1;2
457;De La Luz;1;2
458;Westwood Moon;1;2
459;Midnight;1;2
460;Playtime;1;2
461;Surrender;1;2
462;Valentino's;1;2
463;Believe;1;2
464;As We Sleep;1;2
465;When Evening Falls;1;2
466;J Squared;1;2
467;Best Thing;1;2
468;Maria;1;4
469;Poprocks And Coke;1;4
470;Longview;1;4
471;Welcome To Paradise;1;4
472;Basket Case;1;4
473;When I Come Around;1;4
474;She;1;4
475;J.A.R. (Jason Andrew Relva);1;4
476;Geek Stink Breath;1;4
477;Brain Stew;1;4
478;Jaded;1;4
479;Walking Contradiction;1;4
480;Stuck With Me;1;4
481;Hitchin' A Ride;1;4
482;Good Riddance (Time Of Your Life);1;4
483;Redundant;1;4
484;Nice Guys Finish Last;1;4
485;Minority;1;4
486;Warning;1;4
487;Waiting;1;4
488;Macy's Day Parade;1;4
489;Into The Light;1;1
490;River Song;1;1
491;She Give Me ...;1;1
492;Don't You Cry;1;1
493;Love Is Blind;1;1
494;Slave;1;1
495;Cry For Love;1;1
496;Living On Love;1;1
497;Midnight Blue;1;1
498;Too Many Tears;1;1
499;Don't Lie To Me;1;1
500;Wherever You May Go;1;1
501;Grito De Alerta;1;7
502;Não Dá Mais Pra Segurar (Explode Coração);1;7
503;Começaria Tudo Outra Vez;1;7
504;O Que É O Que É ?;1;7
505;Sangrando;1;7
506;Diga Lá, Coração;1;7
507;Lindo Lago Do Amor;1;7
508;Eu Apenas Queria Que Voçê Soubesse;1;7
509;Com A Perna No Mundo;1;7
510;E Vamos À Luta;1;7
511;Um Homem Também Chora (Guerreiro Menino);1;7
512;Comportamento Geral;1;7
513;Ponto De Interrogação;1;7
514;Espere Por Mim, Morena;1;7
515;Meia-Lua Inteira;1;7
516;Voce e Linda;1;7
517;Um Indio;1;7
518;Podres Poderes;1;7
519;Voce Nao Entende Nada - Cotidiano;1;7
520;O Estrangeiro;1;7
521;Menino Do Rio;1;7
522;Qualquer Coisa;1;7
523;Sampa;1;7
524;Queixa;1;7
525;O Leaozinho;1;7
526;Fora Da Ordem;1;7
527;Terra;1;7
528;Alegria, Alegria;1;7
529;Balada Do Louco;1;4
530;Ando Meio Desligado;1;4
531;Top Top;1;4
532;Baby;1;4
533;A E O Z;1;4
534;Panis Et Circenses;1;4
535;Chão De Estrelas;1;4
536;Vida De Cachorro;1;4
537;Bat Macumba;1;4
538;Desculpe Babe;1;4
539;Rita Lee;1;4
540;Posso Perder Minha Mulher, Minha Mãe, Desde Que Eu Tenha O Rock And Roll;1;4
541;Banho De Lua;1;4
542;Meu Refrigerador Não Funciona;1;4
543;Burn;1;1
544;Stormbringer;1;1
545;Gypsy;1;1
546;Lady Double Dealer;1;1
547;Mistreated;1;1
548;Smoke On The Water;1;1
549;You Fool No One;1;1
550;Custard Pie;1;1
551;The Rover;1;1
552;In My Time Of Dying;1;1
553;Houses Of The Holy;1;1
554;Trampled Under Foot;1;1
555;Kashmir;1;1
556;Imperatriz;1;7
557;Beija-Flor;1;7
558;Viradouro;1;7
